Identifiant;Nom;Adresse;Localisation;Code postal;Code INSEE;Commune;Code catégorie;Sous-Catégorie;Source;Date d’installation;Descriptif;Téléphone;Lien;Ouverture;Capacité;Capacité (valeur);Conditions;Exploitant;Modèle de station;Lignes de transport en commun;Géométrie
34544;Station biclooPlus Pirmil (n°101);Parking Pirmil;13, rue Esnoul des Châtelets;44200;44109;Nantes;Equipements vélo;biclooPlus;JCDecaux;;;01 30 79 33 44;bicloo.nantesmetropole.fr;7 jours sur 7. 24 h sur 24.;28 places;28;ABONNEMENT TICKET;JCDecaux;;132 - 152 - 162 - 162 - 2 - 27 - 27 - 28 - 28 - 3 - 36 - 98 - C4 - C9 - C9 - E8;"{""type"": ""Point"", ""coordinates"": [-1.541568090565843, 47.19653136311058]}"
34560;Station biclooPlus Mairie De Chantenay (n°117);Boulevard de la Liberté;Place de la Liberté;44100;44109;Nantes;Equipements vélo;biclooPlus;JCDecaux;;;01 30 79 33 44;bicloo.nantesmetropole.fr;7 jours sur 7. 24 h sur 24.;15 places;15;ABONNEMENT TICKET;JCDecaux;;10 - 11 - LO;"{""type"": ""Point"", ""coordinates"": [-1.587850000224417, 47.2065599993998]}"
34459;Station biclooPlus Aristide Briand (n°15);Place Aristide Briand;Place Aristide Briand;44000;44109;Nantes;Equipements vélo;biclooPlus;JCDecaux;;;01 30 79 33 44;bicloo.nantesmetropole.fr;7 jours sur 7. 24 h sur 24.;17 places;17;ABONNEMENT TICKET;JCDecaux;;;"{""type"": ""Point"", ""coordinates"": [-1.5629867937371031, 47.21718482220267]}"
34461;Station biclooPlus Sainte Élisabeth (n°17);Place Sainte Elisabeth;4, place Sainte Elisabeth;44000;44109;Nantes;Equipements vélo;biclooPlus;JCDecaux;;;01 30 79 33 44;bicloo.nantesmetropole.fr;7 jours sur 7. 24 h sur 24.;14 places;14;ABONNEMENT TICKET;JCDecaux;;3;"{""type"": ""Point"", ""coordinates"": [-1.5615701471776622, 47.21921395176854]}"
34464;Station biclooPlus Bouffay (n°20);Parvis Neptune;7, allée du Port Maillard - Cours Franklin Roosevelt;44000;44109;Nantes;Equipements vélo;biclooPlus;JCDecaux;;;01 30 79 33 44;bicloo.nantesmetropole.fr;7 jours sur 7. 24 h sur 24.;15 places;15;ABONNEMENT TICKET;JCDecaux;;1;"{""type"": ""Point"", ""coordinates"": [-1.552782000113883, 47.21430099913174]}"
34468;Station biclooPlus Versailles (n°24);Quai de Versailles;25, quai de Versailles - Ile de Versailles;44000;44109;Nantes;Equipements vélo;biclooPlus;JCDecaux;;;01 30 79 33 44;bicloo.nantesmetropole.fr;7 jours sur 7. 24 h sur 24.;15 places;15;ABONNEMENT TICKET;JCDecaux;;;"{""type"": ""Point"", ""coordinates"": [-1.553711961121047, 47.224514906597285]}"
34472;Station biclooPlus Édit De Nantes (n°28);Place de l'Edit de Nantes;2, rue de Gigant - Place de l'Edit de Nantes;44100;44109;Nantes;Equipements vélo;biclooPlus;JCDecaux;;;01 30 79 33 44;bicloo.nantesmetropole.fr;7 jours sur 7. 24 h sur 24.;13 places;13;ABONNEMENT TICKET;JCDecaux;;23 - C1 - C3;"{""type"": ""Point"", ""coordinates"": [-1.567568016869896, 47.21446342673809]}"
34496;Station biclooPlus Olivettes (n°53);Rue des Olivettes;10, rue des Olivettes;44000;44109;Nantes;Equipements vélo;biclooPlus;JCDecaux;;;01 30 79 33 44;bicloo.nantesmetropole.fr;7 jours sur 7. 24 h sur 24.;15 places;15;ABONNEMENT TICKET;JCDecaux;;;"{""type"": ""Point"", ""coordinates"": [-1.549886024931816, 47.211736392378675]}"
34524;Station biclooPlus Mangin (n°81);Place Victor Mangin;Devant le 8, place Mangin;44200;44109;Nantes;Equipements vélo;biclooPlus;JCDecaux;;;01 30 79 33 44;bicloo.nantesmetropole.fr;7 jours sur 7. 24 h sur 24.;14 places;14;ABONNEMENT TICKET;JCDecaux;;132 - 2 - 26 - 3 - LC;"{""type"": ""Point"", ""coordinates"": [-1.545507251477436, 47.20095551652634]}"
34530;Station biclooPlus Anatole France (n°87);Place Anatole France;41, rue Alexandre Dumas - Place Anatole France;44000;44109;Nantes;Equipements vélo;biclooPlus;JCDecaux;;;01 30 79 33 44;bicloo.nantesmetropole.fr;7 jours sur 7. 24 h sur 24.;15 places;15;ABONNEMENT TICKET;JCDecaux;;26 - 54;"{""type"": ""Point"", ""coordinates"": [-1.571373577894617, 47.22360481471338]}"
34547;Station biclooPlus Antilles (n°104);Quai des Antilles;20, quai des Antilles;44200;44109;Nantes;Equipements vélo;biclooPlus;JCDecaux;;;01 30 79 33 44;bicloo.nantesmetropole.fr;7 jours sur 7. 24 h sur 24.;24 places;24;ABONNEMENT TICKET;JCDecaux;;;"{""type"": ""Point"", ""coordinates"": [-1.572324999841739, 47.202546999211165]}"
